nombre_proyecto,obj_general,obj_especificos,codigo_bpin,sector,entidad,responsable,horizonte,presupuesto,control_posterior,seguimiento_de,pnd,programa,av_fisico,av_financiero,av_gestion
"FORMACIÓN PERMANENTE PARA LOS SERVIDORES DE LA REGISTRADURÍA NACIONAL DEL ESTADO CIVIL, EN LA GESTIÓN DEL DESARROLLO Y EN TÉCNICAS Y COMPETENCIAS DE APLICACIÓN MISIONAL. NACIONAL","Fortalecer los conocimientos, técnicas y competencias de aplicación misional de los servidores públicos de la Registraduría Nacional del Estado Civil.",OBJETIVO: Aumentar la cobertura en formación para la gestión del desarrollo.,2018011000448,Registraduría,FONREGISTRADURIA,NELSON ALFONSO CAMPO VALENCIA,2019 - 2023,$2.230.053.000,30/12/2022,Noviembre 2022,"Pacto Por Colombia, Pacto por la Equidad (2019-2022)",Fortalecimiento de la gestión y dirección del Sector Registraduría,"87,00%","0,00%","80,71%"
"FORTALECIMIENTO DE LA CAPACIDAD DE ATENCIÓN EN IDENTIFICACIÓN PARA LA POBLACIÓN EN CONDICIÓN DE VULNERABILIDAD, APD NACIONAL",Identificar a la población víctima y en condición de vulnerabilidad.,OBJETIVO: Llegar a la población víctima y en condición de vulnerabilidad ubicada en lugares de difícil acceso y/o con limitados recursos económicos.,2018011000553,Registraduría,FONREGISTRADURIA,Didier Alberto Chilito Velasco,2019 - 2024,$3.008.778.007,13/12/2022,Noviembre 2022,"Pacto Por Colombia, Pacto por la Equidad (2019-2022)",Identificación y registro del estado civil de la población,"2,00%","94,08%","35,60%"
FORTALECIMIENTO DEL SERVICIO DEL SISTEMA DEL ARCHIVO NACIONAL DE IDENTIFICACIÓN ANI Y SISTEMAS CONEXOS NACIONAL,"Optimizar la disponibilidad, seguridad y confidencialidad en la prestación del servicio a usuarios internos y externos y su interoperabilidad con otros sistemas de información.","OBJETIVO: Fortalecer las herramientas de hardware, software y servicios relacionados con la operación y actualización de la plataforma del Archivo Nacional de Identificación.",2018011000587,Registraduría,FONREGISTRADURIA,OLGA LUCIA VEGA SEQUEDA,2019 - 2026,$2.948.890.339,30/12/2022,Noviembre 2022,"Pacto Por Colombia, Pacto por la Equidad (2019-2022)",Identificación y registro del estado civil de la población,"90,00%","68,78%","94,50%"
MEJORAMIENTO Y MANTENIMIENTO DE LA INFRAESTRUCTURA ADMINISTRATIVA A NIVEL NACIONAL,Mejorar las condiciones de la infraestructura fisica requeridas para la óptima prestación del servicio,OBJETIVO: Adecuar espacios para la prestación del servicio al colombiano y para el desarrollo de las actividades de los funcionarios,2018011000693,Registraduría,FONREGISTRADURIA,Miguel Angel Díaz Moreno,2019 - 2023,$4.771.580.128,16/09/2022,Noviembre 2022,"Pacto Por Colombia, Pacto por la Equidad (2019-2022)",Fortalecimiento de la gestión y dirección del Sector Registraduría,"0,00%","4,92%","39,00%"
"SERVICIO DE RESPALDO DE LOS SISTEMAS DE INFORMACIÓN DE PROCESOS DE IDENTIFICACIÓN, ELECTORALES Y ADMINISTRATIVOS A NIVEL NACIONAL","Aumentar la disponibilidad de los sistemas de información de identificación, electorales y administrativos.","OBJETIVO: Mejorar el respaldo de la infraestructura tecnológica de los sistemas de información de identificación, electorales y administrativos.",2018011000701,Registraduría,FONREGISTRADURIA,Juan Pablo López Sanguino,2019 - 2023,$4.940.983.677,12/12/2022,Noviembre 2022,"Pacto Por Colombia, Pacto por la Equidad (2019-2022)",Fortalecimiento de la gestión y dirección del Sector Registraduría,"92,00%","60,79%","91,40%"
MEJORAMIENTO Y RENOVACIÓN DE LA INFRAESTRUCTURA TECNOLÓGICA PARA LA REGISTRADURÍA NACIONAL DEL ESTADO CIVIL NACIONAL,Optimizar los sistemas de información para la gestión administrativa.,OBJETIVO: Disponer de elementos tecnológicos.,2018011000706,Registraduría,FONREGISTRADURIA,Cesar Augusto Sánchez Sánchez,2019 - 2023,$3.654.855.274,29/08/2022,Noviembre 2022,"Pacto Por Colombia, Pacto por la Equidad (2019-2022)",Fortalecimiento de la gestión y dirección del Sector Registraduría,"0,00%","0,00%","0,00%"
MEJORAMIENTO DE LA RED ELÉCTRICA Y DE COMUNICACIONES A NIVEL NACIONAL. NACIONAL,Adecuar la infraestructura de la red lógica y eléctrica instalada en las sedes de la Registraduria Nacional del Estado Civil,OBJETIVO: Preservar la infraestructura tecnológica de las sedes,2018011000718,Registraduría,FONREGISTRADURIA,ERICK MANUEL ROSADO BERLIZA,2019 - 2023,$3.714.179.073,09/12/2022,Noviembre 2022,"Pacto Por Colombia, Pacto por la Equidad (2019-2022)",Fortalecimiento de la gestión y dirección del Sector Registraduría,"100,00%","60,66%","64,00%"
"FORTALECIMIENTO DE LA RED CORPORATIVA DE TELECOMUNICACIONES - PMT, ELECTORAL Y ADMINISTRATIVA NACIONAL",Prestar un eficiente servicio al cliente externo e interno de la Registraduria Nacional del Estado Civil,"OBJETIVO: Disponer, asegurar y actualizar la plataforma tecnológica y conectar las sedes de la Registraduria Nacional con el nivel central",2018011000719,Registraduría,FONREGISTRADURIA,ERICK MANUEL ROSADO BERLIZA,2019 - 2023,$26.675.157.111,12/12/2022,Noviembre 2022,"Pacto Por Colombia, Pacto por la Equidad (2019-2022)",Fortalecimiento de la gestión y dirección del Sector Registraduría,"100,00%","73,54%","100,00%"
FORTALECIMIENTO DEL CENTRO DE ESTUDIOS EN DEMOCRACIA Y ASUNTOS ELECTORALES - CEDAE - NACIONAL,PROMOVER MECANISMOS DE FORMACIÓN Y DIVULGACIÓN DE CULTURA Y PARTICIPACIÓN DEMOCRÁTICA EN COLOMBIA,OBJETIVO: Fomentar el conocimiento sobre cultura cívica y democrática,2018011000745,Registraduría,FONREGISTRADURIA,AURA HELENA PENAS FELIZZOLA,2019 - 2026,$2.230.053.000,28/10/2022,Noviembre 2022,"Pacto Por Colombia, Pacto por la Equidad (2019-2022)",Procesos democráticos y asuntos electorales,"84,00%","98,57%","100,00%"
FORTALECIMIENTO DEL SISTEMA DE INFORMACIÓN DE REGISTRO CIVIL NACIONAL,Fortalecer el Sistema de Información de Registro Civil,OBJETIVO: Optimizar la disponibilidad de la base de datos del sistema de información registro civil,2018011000823,Registraduría,FONREGISTRADURIA,Dolly Yurany Gómez Rodríguez,2019 - 2024,$2.123.860.000,30/06/2022,Noviembre 2022,"Pacto Por Colombia, Pacto por la Equidad (2019-2022)",Identificación y registro del estado civil de la población,"22,00%","76,19%","90,00%"
IMPLEMENTACIÓN SISTEMA DE GESTIÓN DOCUMENTAL REGISTRADURÍA NACIONAL,"Brindar eficiente y oportunamente los servicios de información y gestión documental, requeridos por los colombianos.",OBJETIVO: Aplicar adecuadamente los métodos de organización de archivos,2018011000846,Registraduría,FONREGISTRADURIA,Natalia Rodriguez Delgadillo,2019 - 2024,$4.223.900.755,11/07/2022,Noviembre 2022,"Pacto Por Colombia, Pacto por la Equidad (2019-2022)",Fortalecimiento de la gestión y dirección del Sector Registraduría,"0,00%","82,34%","100,00%"
Fortalecimiento del Sistema de Servicio al Colombiano de la Registraduria Nacional del Estado Civil Nacional,Fortalecer el Sistema de Servicio al Colombiano de la Registraduria Nacional del Estado Civil.,"OBJETIVO: Robustecer los recursos tecnológicos, digitales y de equipamiento del sistema de servicio al colombiano en los diferentes canales y sedes de atención.",2020011000108,Registraduría,FONREGISTRADURIA,Silvia Lorena González Sánchez,2021 - 2025,$4.688.077.000,13/12/2022,Noviembre 2022,"Pacto Por Colombia, Pacto por la Equidad (2019-2022)",Fortalecimiento de la gestión y dirección del Sector Registraduría,"63,00%","71,88%","92,00%"
