codigo,region,departamento,cant_beneficiarios
2020011000109,Nacional,Por Regionalizar,12.524
2020011000111,Nacional,Por Regionalizar,15.739.183
2020011000116,Amazonía,Caqueta,100
2020011000116,Bogotá D.C.,Bogota,100
2020011000116,Bogotá D.C.,Huila,100
2020011000116,Centro Oriente,N. Santander,100
2020011000116,Centro Oriente,Santander,100
2020011000116,Centro Oriente,Santander,200
2020011000116,Caribe,Atlantico,100
2020011000116,Caribe,Cesar,100
2020011000116,Caribe,Magdalena,100
2020011000116,Occidente,Cauca,100
2020011000116,Occidente,Valle,100
2020011000116,No Regionalizable,Antioquia,100
2020011000116,No Regionalizable,Caldas,100
2018011000448,Amazonía,Caqueta,49
2018011000448,Amazonía,Caqueta,251
2018011000448,Amazonía,Putumayo,48
2018011000448,Amazonía,Putumayo,211
2018011000448,Amazonía,Amazonas,31
2018011000448,Amazonía,Amazonas,100
2018011000448,Amazonía,Guainia,31
2018011000448,Amazonía,Guainia,109
2018011000448,Amazonía,Guaviare,34
2018011000448,Amazonía,Guaviare,134
2018011000448,Amazonía,Vaupes,37
2018011000448,Amazonía,Vaupes,105
2018011000448,Bogotá D.C.,Bogota,872
2018011000448,Bogotá D.C.,Bogota,1.392
2018011000448,Bogotá D.C.,Boyaca,166
2018011000448,Bogotá D.C.,Boyaca,255
2018011000448,Bogotá D.C.,Cundinamarca,172
2018011000448,Bogotá D.C.,Cundinamarca,362
2018011000448,Bogotá D.C.,Huila,75
2018011000448,Bogotá D.C.,Huila,318
2018011000448,Bogotá D.C.,Tolima,90
2018011000448,Bogotá D.C.,Tolima,283
2018011000448,Centro Oriente,N. Santander,84
2018011000448,Centro Oriente,N. Santander,309
2018011000448,Centro Oriente,Santander,142
2018011000448,Centro Oriente,Santander,341
2018011000448,Caribe,Atlantico,74
2018011000448,Caribe,Atlantico,327
2018011000448,Caribe,Bolivar,94
2018011000448,Caribe,Bolivar,274
2018011000448,Caribe,Cesar,70
2018011000448,Caribe,Cesar,318
2018011000448,Caribe,Cordoba,74
2018011000448,Caribe,Cordoba,274
2018011000448,Caribe,Guajira,56
2018011000448,Caribe,Guajira,211
2018011000448,Caribe,Magdalena,71
2018011000448,Caribe,Magdalena,272
2018011000448,Caribe,Sucre,70
2018011000448,Caribe,Sucre,279
2018011000448,Occidente,Cauca,84
2018011000448,Occidente,Cauca,258
2018011000448,Occidente,Choco,71
2018011000448,Occidente,Choco,234
2018011000448,Occidente,Nariño,108
2018011000448,Occidente,Nariño,306
2018011000448,Occidente,Valle,117
2018011000448,Occidente,Valle,376
2018011000448,Orinoquía,Meta,68
2018011000448,Orinoquía,Meta,240
2018011000448,Orinoquía,Arauca,41
2018011000448,Orinoquía,Arauca,146
2018011000448,Orinoquía,Casanare,54
2018011000448,Orinoquía,Casanare,240
2018011000448,Orinoquía,Vichada,30
2018011000448,Orinoquía,Vichada,104
2018011000448,Por Regionalizar,San Andres,30
2018011000448,Por Regionalizar,San Andres,108
2018011000448,No Regionalizable,Antioquia,193
2018011000448,No Regionalizable,Antioquia,402
2018011000448,No Regionalizable,Caldas,63
2018011000448,No Regionalizable,Caldas,268
2018011000448,No Regionalizable,Quindio,47
2018011000448,No Regionalizable,Quindio,289
2018011000448,No Regionalizable,Risaralda,50
2018011000448,No Regionalizable,Risaralda,255
2018011000553,Amazonía,Caqueta,824
2018011000553,Amazonía,Putumayo,1.803
2018011000553,Amazonía,Amazonas,1.071
2018011000553,Amazonía,Guainia,628
2018011000553,Amazonía,Guaviare,538
2018011000553,Amazonía,Vaupes,316
2018011000553,Bogotá D.C.,Boyaca,959
2018011000553,Bogotá D.C.,Cundinamarca,772
2018011000553,Bogotá D.C.,Huila,668
2018011000553,Bogotá D.C.,Tolima,814
2018011000553,Centro Oriente,N. Santander,13.594
2018011000553,Centro Oriente,Santander,1.012
2018011000553,Caribe,Atlantico,5.304
2018011000553,Caribe,Bolivar,12.814
2018011000553,Caribe,Cesar,2.060
2018011000553,Caribe,Cordoba,8.513
2018011000553,Caribe,Guajira,28.325
2018011000553,Caribe,Magdalena,6.283
2018011000553,Caribe,Sucre,1.779
2018011000553,Occidente,Cauca,1.957
2018011000553,Occidente,Choco,10.989
