codigo,fuente_fin_Dep,inicial,vigente,compromiso,obligacion,pago6
2020011000116,Aportes Nacion,721.779.710,721.779.710,0,0,0
2020011000116,---Antioquia,32.364.942,32.364.942,0,0,0
2020011000116,---Atlantico,30.507.061,30.507.061,0,0,0
2020011000116,---Bogota,349.172.620,349.172.620,0,0,0
2020011000116,---Caldas,31.422.273,31.422.273,0,0,0
2020011000116,---Caqueta,32.364.942,32.364.942,0,0,0
2020011000116,---Cauca,30.507.061,30.507.061,0,0,0
2020011000116,---Cesar,31.422.273,31.422.273,0,0,0
2020011000116,---Huila,31.422.273,31.422.273,0,0,0
2020011000116,---Magdalena,32.364.942,32.364.942,0,0,0
2020011000116,---N. Santander,31.422.273,31.422.273,0,0,0
2020011000116,---Santander,58.301.989,58.301.989,0,0,0
2020011000116,---Valle,30.507.061,30.507.061,0,0,0
2018011000448,Recursos Propios,2.230.053.000,2.230.053.000,2.230.053.000,2.007.289.370,2.007.289.370
2018011000448,---Antioquia,104.916.385,71.834.871,71.834.871,64.651.384,64.651.384
2018011000448,---Atlantico,44.675.730,68.461.875,68.461.875,61.615.688,61.615.688
2018011000448,---Bogota,854.495.876,406.654.447,406.654.447,366.230.672,366.230.672
2018011000448,---Bolivar,58.802.585,61.115.792,61.115.792,55.004.213,55.004.213
2018011000448,---Boyaca,75.214.127,58.108.297,58.108.297,52.297.467,52.297.467
2018011000448,---Caldas,46.173.683,61.977.871,61.977.871,55.780.084,55.780.084
2018011000448,---Caqueta,21.293.671,56.588.324,56.588.324,50.929.492,50.929.492
2018011000448,---Cauca,44.298.144,60.287.070,60.287.070,54.258.363,54.258.363
2018011000448,---Cesar,44.102.399,66.381.587,66.381.587,59.743.428,59.743.428
2018011000448,---Cordoba,49.342.062,61.450.180,61.450.180,55.305.162,55.305.162
2018011000448,---Cundinamarca,100.100.900,67.582.391,67.582.391,60.824.152,60.824.152
2018011000448,---Choco,38.669.846,57.399.959,57.399.959,51.659.963,51.659.963
2018011000448,---Huila,42.999.968,66.336.369,66.336.369,59.702.732,59.702.732
2018011000448,---Guajira,38.026.712,53.770.042,53.770.042,48.393.038,48.393.038
2018011000448,---Magdalena,38.641.648,60.487.442,60.487.442,54.438.698,54.438.698
2018011000448,---Meta,38.478.621,60.614.477,60.614.477,54.553.029,54.553.029
2018011000448,---Nariño,48.604.792,66.152.581,66.152.581,59.537.323,59.537.323
2018011000448,---N. Santander,51.183.007,64.447.530,64.447.530,58.002.777,58.002.777
2018011000448,---Quindio,40.048.808,63.844.806,63.844.806,57.460.325,57.460.325
2018011000448,---Risaralda,40.132.653,58.770.139,58.770.139,52.893.125,52.893.125
2018011000448,---Santander,45.983.567,62.886.815,62.886.815,56.598.134,56.598.134
2018011000448,---Sucre,41.386.428,62.869.790,62.869.790,56.582.811,56.582.811
2018011000448,---Tolima,47.252.224,66.401.364,66.401.364,59.761.228,59.761.228
2018011000448,---Valle,108.657.004,72.422.756,72.422.756,65.180.480,65.180.480
2018011000448,---Arauca,19.298.396,48.350.760,48.350.760,43.515.684,43.515.684
2018011000448,---Casanare,19.081.984,56.544.787,56.544.787,50.890.308,50.890.308
2018011000448,---Putumayo,21.928.992,53.849.014,53.849.014,48.464.113,48.464.113
2018011000448,---San Andres,25.942.806,46.205.856,46.205.856,41.585.270,41.585.270
2018011000448,---Amazonas,18.081.496,31.053.288,31.053.288,27.947.959,27.947.959
2018011000448,---Guainia,15.139.369,32.616.319,32.616.319,29.354.687,29.354.687
2018011000448,---Guaviare,16.434.649,38.144.024,38.144.024,34.329.622,34.329.622
2018011000448,---Vaupes,15.156.397,35.618.058,35.618.058,32.056.252,32.056.252
2018011000448,---Vichada,15.508.071,30.824.119,30.824.119,27.741.707,27.741.707
2018011000553,Aportes Nacion,3.008.778.007,3.008.778.007,3.007.025.580,2.830.596.369,2.830.596.369
2018011000553,---Antioquia,277.535.830,282.895.570,282.895.570,270.007.883,270.007.883
2018011000553,---Atlantico,122.814.120,114.060.226,114.060.226,108.357.215,108.357.215
2018011000553,---Bolivar,296.708.170,275.559.528,275.559.528,261.781.552,261.781.552
2018011000553,---Boyaca,22.205.645,20.622.880,20.622.880,19.591.736,19.591.736
2018011000553,---Caldas,27.901.775,51.054.828,51.054.828,49.759.178,49.759.178
2018011000553,---Caqueta,19.079.720,17.719.764,17.719.764,16.833.776,16.833.776
2018011000553,---Cauca,45.314.335,71.815.416,71.815.416,65.122.040,65.122.040
2018011000553,---Cesar,47.699.300,44.299.410,44.299.410,42.084.440,42.084.440
2018011000553,---Cordoba,197.118.515,183.068.384,183.068.384,173.914.965,173.914.965
2018011000553,---Cundinamarca,17.875.660,18.353.953,16.601.526,15.771.447,15.771.447
2018011000553,---Choco,254.450.295,236.313.692,236.313.692,224.498.007,224.498.007
2018011000553,---Huila,15.467.540,14.365.052,14.365.052,13.646.799,13.646.799
2018011000553,---Guajira,655.865.375,613.706.028,613.706.028,578.661.030,578.661.030
2018011000553,---Magdalena,145.482.865,135.113.198,135.113.198,128.357.538,128.357.538
2018011000553,---Meta,20.283.780,18.838.002,18.838.002,17.896.102,17.896.102
2018011000553,---Nariño,24.660.075,27.491.518,27.491.518,21.757.246,21.757.246
2018011000553,---N. Santander,314.769.070,296.922.246,296.922.246,277.716.437,277.716.437
2018011000553,---Quindio,4.515.225,4.193.390,4.193.390,3.983.721,3.983.721
2018011000553,---Risaralda,13.314.125,12.365.126,12.365.126,11.746.870,11.746.870
2018011000553,---Santander,23.432.860,21.762.622,21.762.622,20.674.491,20.674.491
2018011000553,---Sucre,41.192.745,38.256.626,38.256.626,36.343.795,36.343.795
2018011000553,---Tolima,18.848.170,17.504.718,17.504.718,16.629.482,16.629.482
2018011000553,---Valle,254.542.915,236.399.712,236.399.712,224.579.726,224.579.726
2018011000553,---Arauca,25.887.290,24.042.106,24.042.106,22.840.001,22.840.001
2018011000553,---Casanare,5.464.580,5.075.078,5.075.078,4.821.324,4.821.324
2018011000553,---Putumayo,41.748.465,38.772.736,38.772.736,36.834.099,36.834.099
2018011000553,---Amazonas,24.813.685,52.776.004,52.776.004,47.034.599,47.034.599
2018011000553,---Guainia,14.541.340,43.235.846,43.235.846,37.971.449,37.971.449
2018011000553,---Guaviare,12.457.390,41.300.436,41.300.436,36.132.809,36.132.809
2018011000553,---Vaupes,7.316.980,6.795.444,6.795.444,6.455.672,6.455.672
2018011000553,---Vichada,15.470.167,44.098.468,44.098.468,38.790.940,38.790.940
2018011000693,Recursos Propios,4.771.580.128,4.771.580.128,2.537.049.804,261.996.362,261.996.362
2018011000693,---Atlantico,258.000.000,258.000.000,0,0,0
2018011000693,---Bogota,1.018.000.000,1.618.000.000,1.474.204.955,261.996.362,261.996.362
2018011000693,---Bolivar,198.000.000,0,0,0,0
2018011000693,---Boyaca,0,0,0,0,0
2018011000693,---Caldas,148.500.000,0,0,0,0
2018011000693,---Caqueta,218.000.000,0,0,0,0
2018011000693,---Cauca,433.500.000,215.500.000,209.301.000,0,0
2018011000693,---Cordoba,170.500.000,218.000.000,0,0,0
2018011000693,---Cundinamarca,363.000.000,532.000.000,342.965.047,0,0
2018011000693,---Huila,180.400.000,180.400.000,0,0,0
2018011000693,---Guajira,207.000.000,207.000.000,0,0,0
2018011000693,---Magdalena,0,0,0,0,0
2018011000693,---Nariño,0,0,0,0,0
2018011000693,---N. Santander,176.000.000,176.000.000,0,0,0
2018011000693,---Quindio,218.000.000,218.000.000,0,0,0
2018011000693,---Risaralda,159.500.000,159.500.000,0,0,0
2018011000693,---Sucre,247.000.000,367.000.000,112.515.049,0,0
2018011000693,---Tolima,404.180.128,404.180.128,192.677.423,0,0
2018011000693,---Casanare,372.000.000,218.000.000,205.386.330,0,0
2018011000706,Recursos Propios,3.654.855.274,3.654.855.274,3.654.851.823,754.547.335,0
2018011000706,---Antioquia,89.230.870,41.179.560,41.179.560,0,0
2018011000706,---Atlantico,76.687.258,41.359.560,41.359.560,0,0
2018011000706,---Bogota,1.552.084.154,2.755.274.965,2.755.274.965,754.547.335,0
2018011000706,---Bolivar,64.143.646,13.726.520,13.726.520,0,0
2018011000706,---Boyaca,64.143.646,34.241.300,34.241.300,0,0
2018011000706,---Caldas,64.143.646,13.696.520,13.696.520,0,0
2018011000706,---Caqueta,64.143.646,20.599.780,20.599.780,0,0
2018011000706,---Cauca,64.143.646,20.649.780,20.649.780,0,0
2018011000706,---Cesar,64.143.646,0,0,0,0
2018011000706,---Cordoba,64.143.646,27.463.040,27.463.040,0,0
2018011000706,---Cundinamarca,76.687.258,45.328.228,45.328.228,0,0
2018011000706,---Choco,64.143.646,13.866.520,13.866.520,0,0
2018011000706,---Huila,64.143.646,20.589.780,20.589.780,0,0
