codigo,vigencia,solictado,inicial,vigente,compromiso,obligacion,pago,av_financiero,av_fisico,av_gestion
2020011000109,2021-Dic,12.000.000.000,4.737.530.011,4.737.530.011,0,0,0,"0,00%","0,00%",0
2020011000109,2022-Dic,4.879.655.911,4.879.655.911,4.879.655.911,4.879.654.361,4.879.654.361,4.879.654.361,"100,00%","54,00%",4.879.654.361
2020011000109,2023,7.394.894.732,0,0,0,0,0,"0,00%","0,00%",0
2020011000111,2021-Dic,10.000.000.000,3.000.000.000,3.000.000.000,2.726.290.000,817.887.000,817.887.000,"27,26%","0,00%",817.887.000
2020011000111,2022-Dic,2.278.220.290,2.278.220.290,2.278.220.290,1.536.838.907,1.431.650.157,1.431.650.157,"62,84%","63,00%",1.431.650.157
2020011000116,2022-Dic,471.200.862,721.779.710,721.779.710,0,0,0,"0,00%","0,00%",0
2020011000116,2023,815.674.750,0,0,0,0,0,"0,00%","0,00%",0
2020011000116,2024,499.897.005,0,0,0,0,0,"0,00%","0,00%",0
2020011000116,2025,514.893.923,0,0,0,0,0,"0,00%","0,00%",0
2020011000116,2026,530.340.747,0,0,0,0,0,"0,00%","0,00%",0
2018011000448,2019-Dic,1.606.000.000,1.606.000.000,1.606.000.000,1.542.161.225,1.542.161.225,1.319.033.868,"96,02%","100,00%",1.542.161.225
2018011000448,2020-Dic,1.800.000.000,2.100.000.000,0,0,0,0,"0,00%","0,00%",0
2018011000448,2021-Dic,2.165.100.000,2.165.100.000,2.165.100.000,2.164.691.772,1.617.907.824,1.617.907.824,"74,73%","100,00%",1.617.907.824
2018011000448,2022-Dic,2.230.053.000,2.230.053.000,2.230.053.000,2.230.053.000,2.007.289.370,2.007.289.370,"90,01%","95,00%",2.007.289.370
2018011000448,2023,2.296.954.590,0,0,0,0,0,"0,00%","0,00%",0
2018011000553,2019-Dic,2.733.310.167,2.733.310.167,2.733.310.167,2.733.256.379,2.733.256.379,2.473.159.682,"100,00%","99,00%",2.733.256.379
2018011000553,2020-Dic,0,2.815.309.472,2.815.309.472,2.815.247.668,2.422.362.010,2.422.362.010,"86,04%","50,40%",2.422.362.010
2018011000553,2021-Dic,2.128.465.891,2.921.143.696,2.921.143.696,1.103.650.299,0,0,"0,00%","49,00%",0
2018011000553,2022-Dic,3.008.778.007,3.008.778.007,3.008.778.007,3.007.025.580,2.830.596.369,2.830.596.369,"94,08%","4,00%",2.830.596.369
2018011000553,2023,4.728.658.926,0,0,0,0,0,"0,00%","0,00%",0
2018011000553,2024,5.545.407.747,0,0,0,0,0,"0,00%","0,00%",0
2018011000587,2019-Dic,2.060.254.523,2.060.254.523,2.060.254.523,2.057.180.147,2.057.180.147,1.782.817.782,"99,85%","100,00%",2.057.180.147
2018011000587,2020-Dic,1.560.000.000,1.835.234.280,953.003.848,908.003.848,885.121.392,826.422.165,"92,88%","100,00%",885.121.392
2018011000587,2021-Dic,1.892.126.543,1.892.126.543,1.892.126.543,1.850.376.835,847.827.747,847.827.747,"44,81%","100,00%",847.827.747
2018011000587,2022-Dic,2.948.890.339,2.948.890.339,2.948.890.339,2.756.687.646,2.574.597.260,2.574.597.260,"87,31%","100,00%",2.574.597.260
2018011000587,2023,3.037.357.049,0,0,0,0,0,"0,00%","0,00%",0
2018011000587,2024,7.000.000.000,0,0,0,0,0,"0,00%","0,00%",0
2018011000587,2025,7.200.000.000,0,0,0,0,0,"0,00%","0,00%",0
2018011000587,2026,7.500.000.000,0,0,0,0,0,"0,00%","0,00%",0
2018011000693,2019-Dic,2.678.000.000,2.678.000.000,2.678.000.000,2.400.184.244,2.284.502.930,1.553.441.084,"85,31%","96,00%",2.284.502.930
2018011000693,2020-Dic,1.678.000.000,1.678.000.000,522.422.127,514.033.338,493.585.674,454.589.569,"94,48%","100,00%",493.585.674
2018011000693,2021-Dic,4.632.602.066,4.632.602.066,4.632.602.066,3.000.112.027,893.004.272,839.940.461,"19,28%","67,00%",893.004.272
2018011000693,2022-Dic,4.771.580.128,4.771.580.128,4.771.580.128,2.537.049.804,261.996.362,261.996.362,"5,49%","22,00%",261.996.362
